butir_1,butir_2,butir_3,butir_4,butir_A5,butir_6,butir_7,butir_8,butir_9,butir_A10,butir_11,butir_12,butir_13,butir_14,butir_15,butir_16,butir_A17,butir_18,butir_19,butir_20,butir_21,butir_22,butir_A23,butir_24,butir_25,butir_26,butir_27,butir_28,butir_29,butir_30,butir_31,butir_A32,butir_33,butir_34,butir_A35,butir_36,butir_37,butir_38,butir_39,butir_40,butir_41,butir_42,butir_43,butir_44,butir_45,butir_46,butir_A47,butir_48,butir_49,butir_50,butir_51,butir_A52,butir_53,butir_54,butir_55,butir_A56,butir_57,butir_A58,butir_59,butir_60,butir_61,butir_62,butir_63,butir_A64,butir_65,butir_66,butir_67,butir_A68,butir_69,butir_70,butir_71,butir_72,butir_73,butir_A74,butir_A75,butir_76,butir_77,butir_78,butir_A79,butir_80,butir_81,butir_82,butir_83,butir_A84,butir_85,butir_86,butir_87,butir_88,butir_89,butir_90,butir_A91,butir_92,butir_93,butir_A94,butir_95
,,,3,3,,3,,,3,,,,2,,3,3,,,,,,3,2,,3,,,,,,3,,3,3,,,,,,2,,3,,,,3,4,,,,4,4,,,4,,4,,,4,,4,4,,,,4,,,,,4,4,4,,,,4,,,4,,4,2,,,,,,2,,,2,
,,,3,3,,3,,,2,,,,3,,2,2,,,,,,4,2,,3,,,,,,3,,3,3,,,,,,1,,2,,,,3,3,,,,4,4,,,4,,4,,,4,,3,3,,,,4,,,,,4,4,4,,,,4,,,4,,4,4,,,,,,3,,,2,
,,1,,3,3,,,,3,,,,,3,,1,,,,,,4,,3,,,,,,,4,4,,3,,,,,,,4,,,,,3,,,,4,4,,3,,4,,4,,,,4,,4,,,,3,,,4,3,,4,4,,3,,3,,,,3,4,,,,,,4,4,,3,2,3
,,,,4,,,,,2,,,3,,,,1,4,,,,4,4,,,,3,,,,4,4,,,3,4,,,,3,,,,4,,,4,,2,,,4,,,,3,,4,,2,,,,3,3,,,4,,3,,,,4,4,4,,,3,,4,,,4,,,3,,,,3,,,2,
,,,,4,,,,,2,,,4,,,,1,4,,,,4,4,,,,4,,,,4,4,,,3,4,,,,3,,,,3,,,3,,3,,,4,,,,3,,4,,2,,,,3,2,,,4,,3,,,,4,4,4,,,4,,4,,,4,,,2,,,,4,,,4,
,,,,4,,,,,3,,,3,,,,1,4,,,,4,4,,,,3,,,,4,4,,,3,4,,,,2,,,,3,,,3,,2,,,4,,,,4,,4,,2,,,,3,2,,,4,,3,,,,4,4,4,,,4,,4,,,4,,,3,,,,4,,,4,
,,,,4,,,,,2,,,4,,,,3,2,,,,4,4,,,,3,,,,4,4,,,3,4,,,,3,,,,2,,,3,,2,,,4,,,,2,,4,,2,,,,4,4,,,4,,3,,,,4,4,4,,,4,,3,,,3,,,2,,,,2,,,2,
,,,,4,,,,,2,,,2,,,,1,4,,,,4,4,,,,4,,,,3,4,,,3,4,,,,3,,,,4,,,3,,2,,,4,,,,4,,4,,3,,,,4,3,,,4,,3,,,,4,4,3,,,4,,4,,,4,,,4,,,,2,,,2,
,,,2,4,,2,,,2,,,,1,,1,3,,,,,,4,2,,2,,,,,,4,,3,3,,,,,,2,,2,,,,3,3,,,,2,4,,,4,,4,,,4,,2,3,,,,4,,,,,3,3,3,,,,2,,,2,,3,4,,,,,,4,,,4,
,,,4,3,,4,,,2,,,,3,,1,1,,,,,,4,2,,2,,,,,,4,,3,3,,,,,,2,,3,,,,3,2,,,,4,4,,,4,,4,,,4,,3,4,,,,3,,,,,4,2,4,,,,3,,,4,,4,3,,,,,,4,,,3,
,,,4,2,,2,,,3,,,,2,,3,1,,,,,,4,2,,4,,,,,,4,,3,3,,,,,,3,,3,,,,3,4,,,,4,4,,,4,,4,,,4,,4,4,,,,4,,,,,4,4,4,,,,4,,,4,,4,2,,,,,,3,,,2,
,,,2,4,,2,,,2,,,,1,,3,1,,,,,,4,2,,4,,,,,,4,,3,3,,,,,,2,,2,,,,3,3,,,,4,4,,,4,,4,,,4,,3,4,,,,4,,,,,4,4,4,,,,4,,,4,,4,3,,,,,,2,,,2,
,,,2,4,,2,,,2,,,,1,,2,1,,,,,,4,2,,2,,,,,,4,,3,3,,,,,,3,,1,,,,3,4,,,,4,4,,,4,,4,,,4,,2,3,,,,4,,,,,4,4,4,,,,3,,,4,,4,3,,,,,,4,,,2,
,,3,,3,4,,,,2,,,,,3,,1,,,,,,4,,3,,,,,,,4,4,,3,,,,,,,4,,,,,3,,,,4,4,,4,,4,,4,,,,4,,4,,,,4,,,3,3,,4,4,,4,,4,,,,4,4,,,,,,4,4,,4,2,3
,,2,,4,3,,,,2,,,,,3,,1,,,,,,4,,4,,,,,,,4,4,,3,,,,,,,4,,,,,3,,,,4,4,,4,,4,,4,,,,4,,4,,,,4,,,3,4,,4,4,,4,,2,,,,4,4,,,,,,2,4,,3,2,3
,,3,,2,4,,,,2,,,,,4,,1,,,,,,4,,3,,,,,,,4,4,,3,,,,,,,4,,,,,3,,,,4,4,,4,,4,,4,,,,4,,4,,,,4,,,3,4,,4,3,,3,,4,,,,4,4,,,,,,3,3,,2,2,3
,,4,,2,4,,,,2,,,,,4,,3,,,,,,4,,3,,,,,,,3,3,,3,,,,,,,4,,,,,3,,,,4,3,,3,,4,,3,,,,4,,4,,,,4,,,3,4,,4,4,,4,,2,,,,4,4,,,,,,4,2,,2,2,3
,,2,,2,4,,,,2,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,3,,,,,,,4,,,,,3,,,,4,4,,4,,4,,4,,,,4,,4,,,,3,,,3,4,,4,4,,3,,4,,,,4,4,,,,,,4,2,,3,2,3
,,2,,4,3,,,,2,,,,,2,,3,,,,,,4,,3,,,,,,,4,4,,3,,,,,,,3,,,,,3,,,,4,4,,3,,3,,3,,,,4,,4,,,,3,,,3,3,,4,4,,3,,3,,,,4,4,,,,,,2,2,,2,2,3
,,3,,3,3,,,,2,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,3,,,,,,,4,,,,,3,,,,4,4,,2,,4,,4,,,,4,,4,,,,4,,,3,4,,4,4,,3,,4,,,,2,4,,,,,,4,3,,3,2,3
,2,,,2,,,,4,2,,3,,,,,2,,4,,4,,4,,,,,4,,4,,4,,,3,,4,,,,,,,,2,,3,4,,,,4,,,3,4,,4,3,,,,,4,,4,,4,4,,,,,4,4,,,,4,,,,,4,,,,,3,,3,,,2,
,2,,,4,,,,2,2,,3,,,,,1,,4,,3,,4,,,,,4,,4,,4,,,3,,4,,,,,,,,3,,3,4,,,,4,,,3,4,,2,2,,,,,4,,4,,4,3,,,,,4,4,,,,2,,,,,4,,,,,2,,3,,,2,
,1,,,4,,,,2,3,,3,,,,,1,,4,,4,,4,,,,,4,,4,,4,,,3,,4,,,,,,,,2,,4,4,,,,4,,,2,4,,4,2,,,,,4,,4,,3,3,,,,,4,4,,,,4,,,,,4,,,,,2,,3,,,2,
,2,,,3,,,,3,2,,3,,,,,3,,4,,4,,4,,,,,4,,4,,4,,,3,,4,,,,,,,,3,,4,4,,,,4,,,4,4,,4,1,,,,,4,,4,,3,3,,,,,3,3,,,,2,,,,,4,,,,,3,,2,,,2,
,2,,,2,,,,4,3,,3,,,,,1,,3,,4,,4,,,,,4,,4,,4,,,3,,4,,,,,,,,2,,4,4,,,,4,,,3,4,,4,2,,,,,4,,4,,4,2,,,,,4,4,,,,4,,,,,4,,,,,4,,2,,,2,
,3,,,2,,,,3,2,,3,,,,,3,,4,,4,,4,,,,,4,,4,,4,,,4,,4,,,,,,,,1,,4,4,,,,4,,,4,4,,4,4,,,,,4,,4,,4,4,,,,,4,4,,,,4,,,,,4,,,,,4,,4,,,1,
4,,,,4,,,2,,3,3,,,,,,3,,,3,,,4,,,,,,4,,,4,,,3,,,4,3,,,,,,,2,2,,,3,,4,,,,4,4,4,,,,,,3,,,2,2,,,,,,3,3,,,3,3,2,,,,4,,3,,3,,,3,4,,4,
3,,,,3,,,2,,2,2,,,,,,2,,,3,,,3,,,,,,3,,,3,,,3,,,3,3,,,,,,,3,3,,,3,,3,,,,3,3,3,,,,,,3,,,3,3,,,,,,3,3,,,3,3,2,,,,3,,3,,3,,,3,3,,2,
3,,,,4,,,3,,3,1,,,,,,2,,,4,,,4,,,,,,4,,,3,,,4,,,4,2,,,,,,,3,3,,,4,,4,,,,3,4,3,,,,,,3,,,4,4,,,,,,4,3,,,3,3,3,,,,4,,4,,3,,,3,3,,3,
3,,,,3,,,3,,3,3,,,,,,1,,,4,,,4,,,,,,4,,,4,,,4,,,4,3,,,,,,,4,4,,,4,,4,,,,4,4,4,,,,,,4,,,4,4,,,,,,4,4,,,4,4,2,,,,4,,4,,4,,,2,3,,2,
3,,,,4,,,4,,2,3,,,,,,2,,,4,,,4,,,,,,3,,,4,,,4,,,4,4,,,,,,,4,4,,,4,,4,,,,4,4,4,,,,,,3,,,4,4,,,,,,4,4,,,4,4,2,,,,4,,3,,3,,,3,3,,2,
,,,2,3,,2,,,2,,,,3,,3,2,,,,,,4,3,,3,,,,,,3,,3,3,,,,,,2,,2,,,,3,3,,,,4,4,,,3,,3,,,4,,3,3,,,,4,,,,,3,3,4,,,,3,,,3,,4,4,,,,,,2,,,2,
,,,,3,,,,,2,,,4,,,,2,4,,,,3,4,,,,3,,,,4,4,,,4,2,,,,2,,,,3,,,3,,2,,,4,,,,3,,4,,2,,,,3,4,,,3,,2,,,,3,3,3,,,3,,4,,,4,,,2,,,,2,,,1,
,,,,2,,,,,3,,,4,,,,1,4,,,,4,4,,,,4,,,,4,4,,,3,4,,,,3,,,,3,,,3,,2,,,4,,,,4,,4,,3,,,,4,3,,,4,,2,,,,4,4,3,,,4,,4,,,4,,,3,,,,3,,,2,
,,,,4,,,,,3,,,2,,,,2,4,,,,4,4,,,,4,,,,4,2,,,3,3,,,,2,,,,3,,,3,,2,,,3,,,,4,,4,,3,,,,4,2,,,4,,2,,,,4,4,3,,,3,,4,,,4,,,3,,,,3,,,2,
,,,,4,,,,,2,,,2,,,,1,4,,,,4,4,,,,2,,,,4,3,,,3,4,,,,3,,,,4,,,3,,2,,,4,,,,4,,4,,3,,,,4,4,,,4,,2,,,,4,4,4,,,4,,4,,,4,,,2,,,,3,,,2,
,,3,,4,4,,,,3,,,,,2,,1,,,,,,4,,3,,,,,,,4,4,,3,,,,,,,4,,,,,3,,,,4,4,,2,,4,,2,,,,4,,4,,,,3,,,4,4,,4,3,,3,,4,,,,3,4,,,,,,2,3,,4,4,1
,,1,,4,4,,,,2,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,3,,,,,,,4,,,,,4,,,,4,4,,3,,4,,4,,,,4,,4,,,,3,,,4,4,,4,4,,3,,4,,,,4,4,,,,,,4,3,,3,2,3
,3,,,2,,,,3,3,,3,,,,,2,,3,,3,,3,,,,,3,,3,,3,,,3,,4,,,,,,,,2,,4,4,,,,4,,,4,4,,4,3,,,,,4,,4,,4,4,,,,,4,4,,,,3,,,,,4,,,,,4,,1,,,1,
,2,,,4,,,,3,3,,4,,,,,1,,4,,3,,4,,,,,4,,3,,3,,,3,,4,,,,,,,,2,,4,4,,,,4,,,2,4,,4,3,,,,,4,,4,,4,4,,,,,4,4,,,,4,,,,,4,,,,,2,,4,,,2,
1,,,,4,,,4,,2,4,,,,,,1,,,4,,,4,,,,,,4,,,3,,,3,,,4,4,,,,,,,4,4,,,4,,4,,,,4,4,1,,,,,,4,,,4,4,,,,,,4,4,,,4,4,1,,,,4,,4,,1,,,4,4,,3,
4,,,,4,,,3,,3,3,,,,,,1,,,3,,,3,,,,,,4,,,3,,,3,,,4,4,,,,,,,4,4,,,4,,4,,,,4,4,4,,,,,,3,,,4,4,,,,,,4,4,,,4,4,3,,,,4,,4,,3,,,3,3,,2,
4,,,,2,,,3,,2,3,,,,,,1,,,4,,,4,,,,,,4,,,3,,,3,,,4,2,,,,,,,4,4,,,4,,4,,,,4,4,4,,,,,,4,,,4,4,,,,,,4,4,,,4,4,3,,,,4,,4,,4,,,2,2,,1,
3,,,,2,,,3,,3,2,,,,,,1,,,4,,,4,,,,,,3,,,4,,,3,,,4,4,,,,,,,4,4,,,4,,4,,,,4,4,3,,,,,,4,,,3,3,,,,,,4,4,,,4,4,1,,,,4,,4,,3,,,4,4,,4,
3,,,,4,,,3,,2,1,,,,,,1,,,4,,,4,,,,,,3,,,4,,,3,,,4,1,,,,,,,3,3,,,4,,4,,,,4,4,4,,,,,,3,,,4,4,,,,,,4,4,,,3,4,2,,,,4,,4,,3,,,3,3,,2,
,,,,4,,,,,3,,,4,,,,1,4,,,,4,4,,,,3,,,,4,4,,,4,4,,,,4,,,,3,,,3,,2,,,4,,,,4,,4,,1,,,,4,2,,,3,,3,,,,4,4,4,,,4,,3,,,4,,,4,,,,4,,,4,
,,,,4,,,,,3,,,3,,,,1,3,,,,3,3,,,,4,,,,4,4,,,4,4,,,,3,,,,4,,,4,,2,,,4,,,,4,,4,,1,,,,4,4,,,4,,2,,,,4,4,4,,,4,,4,,,4,,,4,,,,2,,,2,
,,,,4,,,,,3,,,3,,,,1,4,,,,4,4,,,,4,,,,4,4,,,4,3,,,,4,,,,4,,,3,,1,,,4,,,,4,,4,,4,,,,4,3,,,3,,3,,,,4,4,4,,,4,,4,,,4,,,3,,,,4,,,2,
,,,,4,,,,,2,,,4,,,,3,4,,,,4,4,,,,3,,,,4,4,,,4,4,,,,4,,,,4,,,3,,1,,,4,,,,4,,4,,1,,,,4,4,,,2,,3,,,,4,4,4,,,4,,4,,,4,,,3,,,,3,,,1,
,,,,3,,,,,3,,,2,,,,2,3,,,,4,4,,,,3,,,,3,3,,,3,3,,,,3,,,,3,,,4,,2,,,4,,,,4,,4,,2,,,,3,3,,,3,,2,,,,3,4,4,,,2,,4,,,4,,,2,,,,2,,,3,
,,,,4,,,,,3,,,4,,,,1,4,,,,4,4,,,,4,,,,4,4,,,4,4,,,,4,,,,4,,,3,,1,,,4,,,,4,,3,,2,,,,4,1,,,3,,4,,,,4,4,4,,,4,,4,,,4,,,2,,,,4,,,4,
,1,,,4,,,,1,2,,3,,,,,1,,3,,4,,4,,,,,4,,4,,4,,,4,,4,,,,,,,,3,,3,4,,,,4,,,1,3,,4,1,,,,,4,,3,,3,3,,,,,4,4,,,,4,,,,,4,,,,,1,,4,,,4,
,1,,,2,,,,4,2,,2,,,,,1,,4,,4,,4,,,,,4,,4,,4,,,4,,4,,,,,,,,1,,3,4,,,,4,,,3,4,,4,2,,,,,4,,4,,4,4,,,,,4,4,,,,4,,,,,4,,,,,2,,3,,,3,
,3,,,3,,,,3,2,,3,,,,,1,,3,,4,,4,,,,,4,,4,,4,,,3,,4,,,,,,,,3,,3,4,,,,4,,,2,4,,3,3,,,,,4,,4,,3,3,,,,,4,3,,,,4,,,,,4,,,,,2,,4,,,4,
,2,,,2,,,,4,3,,4,,,,,3,,4,,4,,4,,,,,4,,4,,4,,,3,,4,,,,,,,,1,,3,4,,,,4,,,3,4,,4,3,,,,,4,,4,,3,2,,,,,4,4,,,,4,,,,,4,,,,,2,,3,,,2,
,2,,,3,,,,2,2,,3,,,,,2,,3,,3,,4,,,,,4,,4,,3,,,3,,4,,,,,,,,2,,3,4,,,,4,,,2,4,,4,3,,,,,4,,4,,4,4,,,,,4,4,,,,4,,,,,4,,,,,1,,4,,,2,
,,,2,4,,3,,,2,,,,1,,1,1,,,,,,4,2,,2,,,,,,4,,3,3,,,,,,1,,2,,,,3,4,,,,4,4,,,4,,4,,,4,,1,4,,,,3,,,,,4,4,3,,,,3,,,3,,4,4,,,,,,4,,,4,
,,,4,3,,3,,,3,,,,3,,4,3,,,,,,4,3,,2,,,,,,4,,3,3,,,,,,2,,3,,,,2,3,,,,4,4,,,3,,4,,,3,,2,3,,,,3,,,,,4,4,4,,,,3,,,3,,3,2,,,,,,3,,,2,
,,,4,3,,3,,,2,,,,4,,3,2,,,,,,4,1,,4,,,,,,4,,3,4,,,,,,1,,4,,,,4,4,,,,4,4,,,4,,4,,,4,,4,4,,,,4,,,,,4,4,4,,,,4,,,4,,4,3,,,,,,1,,,1,
,,,3,3,,3,,,2,,,,1,,3,1,,,,,,4,2,,3,,,,,,4,,4,4,,,,,,1,,3,,,,4,4,,,,4,4,,,4,,4,,,4,,4,4,,,,4,,,,,4,4,4,,,,3,,,4,,4,3,,,,,,3,,,2,
,,,1,4,,3,,,2,,,,4,,4,1,,,,,,4,1,,4,,,,,,4,,4,3,,,,,,1,,2,,,,3,4,,,,4,4,,,4,,1,,,4,,2,4,,,,4,,,,,4,4,4,,,,4,,,4,,4,1,,,,,,1,,,1,
,,3,,2,3,,,,2,,,,,3,,1,,,,,,4,,4,,,,,,,3,3,,4,,,,,,,2,,,,,3,,,,4,4,,3,,4,,4,,,,4,,4,,,,3,,,4,3,,4,4,,4,,3,,,,4,4,,,,,,1,1,,3,2,3
,,1,,4,4,,,,3,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,4,,,,,,,4,,,,,4,,,,4,4,,2,,4,,4,,,,4,,4,,,,3,,,4,4,,4,4,,4,,4,,,,4,4,,,,,,4,2,,3,2,3
,,4,,4,4,,,,2,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,4,,,,,,,4,,,,,4,,,,4,3,,4,,3,,4,,,,4,,4,,,,4,,,4,4,,4,4,,4,,4,,,,4,4,,,,,,4,3,,2,2,3
,,4,,4,3,,,,2,,,,,3,,1,,,,,,4,,4,,,,,,,4,4,,3,,,,,,,4,,,,,4,,,,4,4,,3,,4,,4,,,,4,,4,,,,4,,,4,4,,4,4,,4,,4,,,,4,4,,,,,,4,1,,3,2,3
,,4,,4,4,,,,2,,,,,4,,2,,,,,,4,,4,,,,,,,4,4,,4,,,,,,,4,,,,,4,,,,4,4,,3,,3,,4,,,,4,,4,,,,4,,,4,4,,4,4,,4,,3,,,,3,4,,,,,,3,3,,1,1,4
,,,,4,,,,,2,,,2,,,,1,4,,,,4,4,,,,3,,,,4,4,,,3,4,,,,4,,,,2,,,3,,3,,,4,,,,4,,3,,3,,,,4,1,,,3,,3,,,,4,4,4,,,4,,2,,,3,,,4,,,,4,,,4,
,,,,4,,,,,2,,,3,,,,1,4,,,,4,4,,,,3,,,,3,4,,,2,3,,,,2,,,,3,,,3,,2,,,4,,,,4,,1,,1,,,,4,4,,,4,,1,,,,4,4,4,,,4,,3,,,3,,,2,,,,2,,,1,
,,,,3,,,,,3,,,3,,,,1,4,,,,4,4,,,,4,,,,4,4,,,3,4,,,,4,,,,2,,,3,,2,,,4,,,,4,,4,,1,,,,4,3,,,3,,1,,,,4,4,4,,,4,,4,,,4,,,3,,,,3,,,2,
,,,,4,,,,,2,,,4,,,,3,2,,,,4,4,,,,1,,,,4,4,,,4,3,,,,4,,,,2,,,3,,1,,,4,,,,4,,4,,1,,,,4,3,,,4,,1,,,,4,4,4,,,1,,3,,,4,,,1,,,,3,,,2,
,1,,,4,,,,2,2,,2,,,,,1,,2,,3,,4,,,,,4,,4,,3,,,4,,4,,,,,,,,3,,3,4,,,,4,,,3,4,,3,2,,,,,4,,4,,3,4,,,,,4,4,,,,2,,,,,3,,,,,1,,4,,,2,
,3,,,2,,,,2,3,,4,,,,,2,,4,,4,,4,,,,,4,,4,,1,,,3,,4,,,,,,,,2,,3,4,,,,1,,,3,4,,4,3,,,,,4,,4,,3,3,,,,,4,4,,,,3,,,,,4,,,,,3,,3,,,3,
,4,,,4,,,,1,2,,4,,,,,1,,4,,4,,4,,,,,4,,4,,4,,,4,,4,,,,,,,,3,,3,4,,,,4,,,2,4,,4,4,,,,,4,,4,,3,4,,,,,4,4,,,,4,,,,,4,,,,,3,,3,,,4,
,1,,,4,,,,1,2,,2,,,,,1,,2,,3,,4,,,,,4,,4,,3,,,4,,4,,,,,,,,2,,4,4,,,,4,,,3,4,,4,1,,,,,4,,4,,4,3,,,,,4,4,,,,3,,,,,4,,,,,1,,4,,,4,
,1,,,4,,,,2,3,,4,,,,,1,,4,,4,,4,,,,,4,,4,,4,,,4,,4,,,,,,,,3,,4,4,,,,4,,,1,4,,4,3,,,,,4,,4,,3,4,,,,,4,4,,,,2,,,,,4,,,,,1,,4,,,4,
,,,1,4,,2,,,3,,,,1,,2,1,,,,,,4,1,,4,,,,,,4,,4,4,,,,,,1,,1,,,,3,4,,,,4,4,,,4,,4,,,4,,4,4,,,,4,,,,,4,4,4,,,,4,,,4,,4,3,,,,,,2,,,2,
,,,3,4,,3,,,2,,,,3,,2,1,,,,,,4,1,,1,,,,,,4,,4,4,,,,,,1,,3,,,,4,4,,,,4,4,,,4,,4,,,4,,4,4,,,,4,,,,,4,4,4,,,,4,,,1,,4,3,,,,,,4,,,2,
,,,3,3,,3,,,2,,,,2,,2,1,,,,,,4,1,,4,,,,,,4,,4,4,,,,,,1,,3,,,,3,4,,,,4,4,,,4,,4,,,4,,4,4,,,,4,,,,,4,4,4,,,,4,,,4,,4,3,,,,,,1,,,2,
,,,1,4,,3,,,2,,,,1,,2,1,,,,,,4,1,,4,,,,,,4,,4,4,,,,,,2,,1,,,,3,3,,,,4,4,,,4,,4,,,4,,4,4,,,,4,,,,,4,4,4,,,,3,,,4,,4,3,,,,,,3,,,1,
,,,1,4,,1,,,2,,,,1,,1,1,,,,,,4,1,,2,,,,,,4,,4,4,,,,,,3,,2,,,,3,3,,,,4,4,,,4,,4,,,4,,3,4,,,,3,,,,,4,4,4,,,,4,,,3,,3,4,,,,,,4,,,4,
,,3,,4,4,,,,3,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,4,,,,,,,4,,,,,3,,,,4,4,,3,,4,,4,,,,4,,4,,,,3,,,2,4,,4,4,,4,,2,,,,4,4,,,,,,3,3,,3,2,3
,,1,,4,4,,,,3,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,4,,,,,,,4,,,,,3,,,,4,4,,4,,4,,4,,,,4,,4,,,,4,,,4,4,,4,4,,4,,4,,,,4,4,,,,,,3,3,,3,2,3
,,1,,4,4,,,,2,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,4,,,,,,,4,,,,,3,,,,4,4,,3,,4,,4,,,,4,,4,,,,3,,,4,4,,4,4,,4,,3,,,,4,4,,,,,,3,3,,3,3,2
,,1,,3,4,,,,2,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,4,,,,,,,4,,,,,4,,,,4,4,,3,,4,,3,,,,4,,4,,,,3,,,4,4,,4,4,,4,,1,,,,3,4,,,,,,3,3,,3,2,3
,,1,,4,3,,,,3,,,,,4,,1,,,,,,4,,4,,,,,,,4,4,,4,,,,,,,4,,,,,3,,,,4,4,,2,,4,,4,,,,4,,4,,,,4,,,4,4,,4,4,,4,,4,,,,2,4,,,,,,3,3,,4,2,3
4,,,,4,,,4,,2,3,,,,,,1,,,4,,,4,,,,,,4,,,3,,,4,,,4,4,,,,,,,4,2,,,4,,4,,,,4,4,4,,,,,,4,,,4,4,,,,,,4,4,,,4,4,4,,,,4,,4,,4,,,4,3,,4,
3,,,,3,,,3,,3,2,,,,,,2,,,3,,,3,,,,,,2,,,3,,,3,,,3,2,,,,,,,3,3,,,3,,3,,,,3,3,3,,,,,,3,,,3,3,,,,,,3,3,,,3,2,3,,,,3,,4,,3,,,3,3,,3,
4,,,,4,,,4,,2,3,,,,,,3,,,4,,,3,,,,,,2,,,4,,,4,,,4,2,,,,,,,4,4,,,4,,4,,,,4,4,4,,,,,,4,,,4,4,,,,,,4,4,,,4,4,3,,,,4,,4,,4,,,4,4,,2,
3,,,,3,,,3,,3,2,,,,,,2,,,3,,,3,,,,,,2,,,3,,,3,,,3,3,,,,,,,3,3,,,3,,3,,,,3,3,3,,,,,,3,,,3,3,,,,,,3,3,,,3,3,3,,,,4,,3,,3,,,3,3,,2,
1,,,,4,,,4,,2,3,,,,,,3,,,4,,,4,,,,,,3,,,3,,,4,,,4,4,,,,,,,3,3,,,4,,4,,,,3,4,4,,,,,,4,,,4,4,,,,,,4,4,,,4,4,4,,,,3,,2,,2,,,3,2,,3,
,3,,,3,,,,3,3,,3,,,,,3,,3,,4,,3,,,,,3,,3,,3,,,3,,4,,,,,,,,3,,3,3,,,,3,,,3,3,,3,2,,,,,3,,3,,4,3,,,,,3,2,,,,3,,,,,3,,,,,2,,2,,,3,
,2,,,3,,,,2,3,,3,,,,,2,,3,,3,,4,,,,,4,,4,,3,,,3,,4,,,,,,,,2,,3,3,,,,4,,,3,3,,3,2,,,,,3,,4,,4,4,,,,,3,4,,,,3,,,,,4,,,,,4,,2,,,2,
,2,,,3,,,,2,3,,2,,,,,2,,3,,3,,3,,,,,3,,3,,2,,,3,,3,,,,,,,,3,,3,3,,,,3,,,2,3,,3,2,,,,,3,,2,,3,3,,,,,3,3,,,,3,,,,,4,,,,,3,,3,,,2,
,2,,,3,,,,3,3,,3,,,,,2,,3,,3,,2,,,,,3,,3,,3,,,3,,3,,,,,,,,3,,3,3,,,,3,,,2,3,,3,2,,,,,3,,2,,3,3,,,,,3,3,,,,2,,,,,3,,,,,3,,3,,,3,
,2,,,3,,,,3,2,,4,,,,,2,,3,,3,,4,,,,,4,,4,,3,,,4,,4,,,,,,,,3,,3,3,,,,4,,,3,3,,3,2,,,,,3,,2,,3,3,,,,,4,4,,,,2,,,,,4,,,,,3,,2,,,3,
,,,,2,,,,,3,,,3,,,,2,3,,,,4,4,,,,3,,,,3,4,,,3,4,,,,4,,,,2,,,2,,2,,,4,,,,4,,4,,2,,,,2,4,,,4,,3,,,,4,4,3,,,4,,3,,,3,,,4,,,,2,,,2,
,,,,2,,,,,3,,,2,,,,2,3,,,,3,3,,,,3,,,,4,3,,,3,3,,,,3,,,,2,,,3,,2,,,3,,,,3,,3,,2,,,,3,3,,,3,,3,,,,3,3,3,,,3,,3,,,3,,,2,,,,3,,,3,
,,,,2,,,,,3,,,3,,,,2,3,,,,3,3,,,,3,,,,3,3,,,3,4,,,,3,,,,3,,,3,,2,,,3,,,,3,,3,,2,,,,3,3,,,3,,2,,,,3,3,3,,,3,,3,,,3,,,3,,,,2,,,2,
,,,,3,,,,,2,,,3,,,,2,3,,,,3,3,,,,3,,,,3,3,,,3,3,,,,2,,,,3,,,3,,2,,,3,,,,3,,3,,2,,,,3,3,,,4,,2,,,,3,3,3,,,3,,3,,,3,,,3,,,,3,,,2,
,,,,3,,,,,3,,,3,,,,2,3,,,,3,4,2,,,3,,,,3,3,,,3,3,,,,3,,,,2,,,4,,2,,,3,,,,3,,3,,2,,,,3,3,,,3,,3,,,,3,3,3,,,2,,3,,,3,,,3,,,,2,,,2,
,,,2,3,,3,,,3,,,,1,,3,2,,,,,,4,3,,2,,,,,,3,,3,3,,,,,,3,,3,,,,4,4,,,,4,4,,,4,,4,,,3,,2,3,,,,3,,,,,4,4,4,,,,3,,,3,,4,3,,,,,,3,,,2,
,,,3,2,,2,,,3,,,,2,,3,2,,,,,,4,2,,3,,,,,,4,,3,3,,,,,,2,,3,,,,3,3,,,,4,4,,,4,,3,,,4,,3,3,,,,3,,,,,3,3,4,,,,3,,,2,,3,3,,,,,,3,,,3,
,,,2,3,,3,,,3,,,,2,,3,3,,,,,,3,2,,3,,,,,,3,,3,3,,,,,,2,,3,,,,3,3,,,,3,3,,,3,,3,,,3,,3,3,,,,4,,,,,3,3,3,,,,3,,,3,,3,3,,,,,,3,,,3,
,,,3,3,,3,,,3,,,,2,,3,2,,,,,,3,2,,2,,,,,,3,,3,3,,,,,,2,,2,,,,3,3,,,,3,3,,,3,,3,,,3,,2,3,,,,3,,,,,3,3,3,,,,3,,,2,,3,3,,,,,,3,,,2,
,,,3,3,,2,,,2,,,,2,,3,2,,,,,,3,3,,3,,,,,,3,,3,3,,,,,,1,,2,,,,3,3,,,,3,3,,,3,,3,,,3,,3,3,,,,3,,,,,3,3,3,,,,3,,,3,,3,3,,,,,,3,,,2,
